param_name,position_fraction,year,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,best_trade,worst_trade,final_equity,total_equity_return,max_drawdown
B_v703_more_trades,1.5,2021,18,3,15,0.611111,0.00355365,0.0072065,0.06396567,3.048664,0.0099668,-0.00608719,109937.76,0.09937765,-0.02014635
B_v703_more_trades,1.5,2022,30,2,28,0.333333,-0.00072039,-0.00603764,-0.0216116,0.821518,0.00996478,-0.00610042,96623.38,-0.03376617,-0.07050585
B_v703_more_trades,1.5,2023,15,2,13,0.466667,0.00139414,-0.00603746,0.02091203,1.430587,0.00996372,-0.00609916,103072.88,0.03072881,-0.03591614
B_v703_more_trades,1.5,2024,13,1,12,0.538462,0.00199127,0.002683,0.02588647,1.710108,0.0099638,-0.00609605,103863.79,0.03863791,-0.02662118
B_v703_more_trades,1.5,2025,17,2,15,0.352941,-0.00041303,-0.00603515,-0.00702145,0.894613,0.00996584,-0.0060965,98841.91,-0.01158092,-0.04455422
B_v703_more_trades,1.5,2026,7,0,7,0.428571,0.00079139,-0.00603451,0.00553971,1.228465,0.00996611,-0.00608999,100784.43,0.00784433,-0.01802203
B_v703_more_trades,2.0,2018,26,2,24,0.423077,0.00070802,-0.00603254,0.01840852,1.202648,0.00996765,-0.006094,103413.58,0.03413576,-0.05931893
B_v703_more_trades,2.0,2019,27,2,25,0.555556,0.00212839,0.00342728,0.0574666,1.900988,0.00996481,-0.00609924,111852.88,0.11852878,-0.05030698
B_v703_more_trades,2.0,2020,21,4,17,0.380952,0.00022826,-0.00603405,0.00479353,1.064167,0.00996623,-0.00609726,100715.51,0.00715512,-0.05206818
B_v703_more_trades,2.0,2021,18,3,15,0.611111,0.00355365,0.0072065,0.06396567,3.048664,0.0099668,-0.00608719,113405.03,0.13405032,-0.0268084
B_v703_more_trades,2.0,2022,30,2,28,0.333333,-0.00072039,-0.00603764,-0.0216116,0.821518,0.00996478,-0.00610042,95441.71,-0.04558291,-0.09302066
B_v703_more_trades,2.0,2023,15,2,13,0.466667,0.00139414,-0.00603746,0.02091203,1.430587,0.00996372,-0.00609916,104067.37,0.04067374,-0.04767036
B_v703_more_trades,2.0,2024,13,1,12,0.538462,0.00199127,0.002683,0.02588647,1.710108,0.0099638,-0.00609605,105141.95,0.05141947,-0.03547636
B_v703_more_trades,2.0,2025,17,2,15,0.352941,-0.00041303,-0.00603515,-0.00702145,0.894613,0.00996584,-0.0060965,98410.24,-0.01589759,-0.05904737
B_v703_more_trades,2.0,2026,7,0,7,0.428571,0.00079139,-0.00603451,0.00553971,1.228465,0.00996611,-0.00608999,101025.14,0.01025142,-0.02399296
C_v701b_best_like,0.3,2018,26,2,24,0.423077,0.00060379,-0.00603252,0.01569849,1.182376,0.00996612,-0.006094,100465.26,0.00465257,-0.00908362
C_v701b_best_like,0.3,2019,27,2,25,0.555556,0.00209233,0.00240507,0.05649287,1.88361,0.00996481,-0.00609924,101702.48,0.01702483,-0.00791122
C_v701b_best_like,0.3,2020,21,4,17,0.428571,-0.00022571,-0.00603405,-0.00473986,0.934906,0.00996623,-0.00609726,99853.13,-0.00146871,-0.00831709
C_v701b_best_like,0.3,2021,18,3,15,0.666667,0.00277572,0.00180163,0.0499629,2.822739,0.0099668,-0.00608719,101506.24,0.01506241,-0.00404684
C_v701b_best_like,0.3,2022,30,2,28,0.333333,-0.00072039,-0.00603764,-0.0216116,0.821518,0.00996478,-0.00610042,99346.05,-0.00653947,-0.01446397
C_v701b_best_like,0.3,2023,15,2,13,0.466667,0.00139414,-0.00603746,0.02091203,1.430587,0.00996372,-0.00609916,100624.88,0.0062488,-0.00726219
C_v701b_best_like,0.3,2024,13,1,12,0.538462,0.00216614,0.00471877,0.02815985,1.859038,0.0099638,-0.00609605,100844.98,0.00844975,-0.00464813
C_v701b_best_like,0.3,2025,17,2,15,0.352941,-0.00041303,-0.00603515,-0.00702145,0.894613,0.00996584,-0.0060965,99785.11,-0.0021489,-0.00904116
C_v701b_best_like,0.3,2026,7,0,7,0.428571,0.00079139,-0.00603451,0.00553971,1.228465,0.00996611,-0.00608999,100164.34,0.00164336,-0.00361752
C_v701b_best_like,0.5,2018,26,2,24,0.423077,0.00060379,-0.00603252,0.01569849,1.182376,0.00996612,-0.006094,100769.05,0.00769054,-0.0151026
C_v701b_best_like,0.5,2019,27,2,25,0.555556,0.00209233,0.00240507,0.05649287,1.88361,0.00996481,-0.00609924,102845.98,0.02845977,-0.01317682
C_v701b_best_like,0.5,2020,21,4,17,0.428571,-0.00022571,-0.00603405,-0.00473986,0.934906,0.00996623,-0.00609726,99750.04,-0.00249962,-0.01385654
C_v701b_best_like,0.5,2021,18,3,15,0.666667,0.00277572,0.00180163,0.0499629,2.822739,0.0099668,-0.00608719,102518.58,0.02518577,-0.00674789
C_v701b_best_like,0.5,2022,30,2,28,0.333333,-0.00072039,-0.00603764,-0.0216116,0.821518,0.00996478,-0.00610042,98903.96,-0.0109604,-0.02400461
C_v701b_best_like,0.5,2023,15,2,13,0.466667,0.00139414,-0.00603746,0.02091203,1.430587,0.00996372,-0.00609916,101038.67,0.01038674,-0.01208163
C_v701b_best_like,0.5,2024,13,1,12,0.538462,0.00216614,0.00471877,0.02815985,1.859038,0.0099638,-0.00609605,101408.46,0.01408464,-0.00774568
C_v701b_best_like,0.5,2025,17,2,15,0.352941,-0.00041303,-0.00603515,-0.00702145,0.894613,0.00996584,-0.0060965,99637.16,-0.00362844,-0.01503218
C_v701b_best_like,0.5,2026,7,0,7,0.428571,0.00079139,-0.00603451,0.00553971,1.228465,0.00996611,-0.00608999,100271.83,0.00271828,-0.00602555
C_v701b_best_like,0.7,2018,26,2,24,0.423077,0.00060379,-0.00603252,0.01569849,1.182376,0.00996612,-0.006094,101067.7,0.01067702,-0.0210923
C_v701b_best_like,0.7,2019,27,2,25,0.555556,0.00209233,0.00240507,0.05649287,1.88361,0.00996481,-0.00609924,103996.22,0.03996224,-0.01843534
C_v701b_best_like,0.7,2020,21,4,17,0.428571,-0.00022571,-0.00603405,-0.00473986,0.934906,0.00996623,-0.00609726,99642.83,-0.00357172,-0.01939146
C_v701b_best_like,0.7,2021,18,3,15,0.666667,0.00277572,0.00180163,0.0499629,2.822739,0.0099668,-0.00608719,103537.46,0.03537461,-0.00945137
C_v701b_best_like,0.7,2022,30,2,28,0.333333,-0.00072039,-0.00603764,-0.0216116,0.821518,0.00996478,-0.00610042,98457.07,-0.01542928,-0.03346434
C_v701b_best_like,0.7,2023,15,2,13,0.466667,0.00139414,-0.00603746,0.02091203,1.430587,0.00996372,-0.00609916,101450.2,0.01450195,-0.0168835
C_v701b_best_like,0.7,2024,13,1,12,0.538462,0.00216614,0.00471877,0.02815985,1.859038,0.0099638,-0.00609605,101972.06,0.0197206,-0.01084222
C_v701b_best_like,0.7,2025,17,2,15,0.352941,-0.00041303,-0.00603515,-0.00702145,0.894613,0.00996584,-0.0060965,99485.47,-0.00514528,-0.02099419
C_v701b_best_like,0.7,2026,7,0,7,0.428571,0.00079139,-0.00603451,0.00553971,1.228465,0.00996611,-0.00608999,100377.67,0.00377667,-0.00843068
C_v701b_best_like,1.0,2018,26,2,24,0.423077,0.00060379,-0.00603252,0.01569849,1.182376,0.00996612,-0.006094,101505.93,0.01505933,-0.03002218
C_v701b_best_like,1.0,2019,27,2,25,0.555556,0.00209233,0.00240507,0.05649287,1.88361,0.00996481,-0.00609924,105734.15,0.0573415,-0.02630947
C_v701b_best_like,1.0,2020,21,4,17,0.428571,-0.00022571,-0.00603405,-0.00473986,0.934906,0.00996623,-0.00609726,99474.33,-0.00525671,-0.02768469
C_v701b_best_like,1.0,2021,18,3,15,0.666667,0.00277572,0.00180163,0.0499629,2.822739,0.0099668,-0.00608719,105078.07,0.05078073,-0.01351105
C_v701b_best_like,1.0,2022,30,2,28,0.333333,-0.00072039,-0.00603764,-0.0216116,0.821518,0.00996478,-0.00610042,97777.95,-0.02222054,-0.04750351
C_v701b_best_like,1.0,2023,15,2,13,0.466667,0.00139414,-0.00603746,0.02091203,1.430587,0.00996372,-0.00609916,102063.14,0.02063142,-0.02405346
C_v701b_best_like,1.0,2024,13,1,12,0.538462,0.00216614,0.00471877,0.02815985,1.859038,0.0099638,-0.00609605,102817.6,0.02817596,-0.01548505
C_v701b_best_like,1.0,2025,17,2,15,0.352941,-0.00041303,-0.00603515,-0.00702145,0.894613,0.00996584,-0.0060965,99251.0,-0.00748995,-0.02988304
C_v701b_best_like,1.0,2026,7,0,7,0.428571,0.00079139,-0.00603451,0.00553971,1.228465,0.00996611,-0.00608999,100533.32,0.00533318,-0.0120329
C_v701b_best_like,1.5,2018,26,2,24,0.423077,0.00060379,-0.00603252,0.01569849,1.182376,0.00996612,-0.006094,102210.01,0.02210012,-0.0447604
C_v701b_best_like,1.5,2019,27,2,25,0.555556,0.00209233,0.00240507,0.05649287,1.88361,0.00996481,-0.00609924,108663.77,0.08663771,-0.03939501
C_v701b_best_like,1.5,2020,21,4,17,0.428571,-0.00022571,-0.00603405,-0.00473986,0.934906,0.00996623,-0.00609726,99173.17,-0.00826834,-0.04148006
C_v701b_best_like,1.5,2021,18,3,15,0.666667,0.00277572,0.00180163,0.0499629,2.822739,0.0099668,-0.00608719,107678.56,0.07678556,-0.02028855
C_v701b_best_like,1.5,2022,30,2,28,0.333333,-0.00072039,-0.00603764,-0.0216116,0.821518,0.00996478,-0.00610042,96623.38,-0.03376617,-0.07050585
C_v701b_best_like,1.5,2023,15,2,13,0.466667,0.00139414,-0.00603746,0.02091203,1.430587,0.00996372,-0.00609916,103072.88,0.03072881,-0.03591614
