run_id,breakout_days,ma_days,atr_days,atr_mult,max_hold_days,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,best_trade,worst_trade,final_equity,total_equity_return,max_drawdown,score
139,60,50,14,2.5,60,89,65,24,0.314607,-0.00144359,-0.00594765,-0.12847925,0.807865,0.07829829,-0.02982283,96099.65,-0.03900354,-0.07717552,-0.09685755
111,40,150,14,3.0,60,87,63,24,0.321839,-0.00134678,-0.00691581,-0.11716949,0.849724,0.07829829,-0.0396092,96371.26,-0.03628737,-0.08381669,-0.0973516
174,60,150,14,3.0,40,81,58,23,0.333333,-0.00167111,-0.00705202,-0.13535977,0.817254,0.06043654,-0.0396092,95875.21,-0.04124789,-0.07159737,-0.09757518
169,60,150,14,2.5,20,95,70,25,0.326316,-0.00134408,-0.00564573,-0.12768723,0.805985,0.05224107,-0.02982283,96137.75,-0.03862253,-0.08332976,-0.09937299
78,40,50,14,3.0,40,98,68,30,0.346939,-0.00141265,-0.0068002,-0.13844005,0.844374,0.06043654,-0.0396092,95753.61,-0.04246386,-0.07619455,-0.09948182
121,40,200,14,2.5,20,101,75,26,0.326733,-0.00121631,-0.00541979,-0.12284737,0.817663,0.05224107,-0.02982283,96277.63,-0.03722366,-0.09281789,-0.10264487
156,60,100,14,2.5,90,87,64,23,0.310345,-0.00164321,-0.00641523,-0.14295918,0.782767,0.06201174,-0.02982283,95693.74,-0.04306263,-0.07778545,-0.10287957
140,60,50,14,2.5,90,89,65,24,0.314607,-0.00162658,-0.00594765,-0.1447658,0.783509,0.06201174,-0.02982283,95640.88,-0.04359117,-0.07717552,-0.10290914
170,60,150,14,2.5,40,88,63,25,0.306818,-0.00166842,-0.00618144,-0.1468209,0.771798,0.05249327,-0.02982283,95590.95,-0.04409047,-0.07589707,-0.10297607
143,60,50,14,3.0,60,82,60,22,0.341463,-0.00159609,-0.00698392,-0.13087904,0.830726,0.07829829,-0.0396092,95986.91,-0.04013093,-0.08381571,-0.10318904
42,20,150,14,2.5,40,126,89,37,0.325397,-0.00116123,-0.00420091,-0.14631439,0.819624,0.05249327,-0.02982283,95575.99,-0.04424005,-0.08453842,-0.10425291
112,40,150,14,3.0,90,86,62,24,0.325581,-0.00158215,-0.0068002,-0.1360648,0.822148,0.06043654,-0.0396092,95845.45,-0.04154551,-0.08381669,-0.10449271
26,20,100,14,2.5,40,134,94,40,0.30597,-0.00111878,-0.00435915,-0.14991699,0.828511,0.05249327,-0.02982283,95452.5,-0.04547501,-0.08366533,-0.10462448
92,40,100,14,2.5,90,101,71,30,0.29703,-0.00136923,-0.00564573,-0.13829257,0.810192,0.06201174,-0.02982283,95810.43,-0.04189574,-0.08646744,-0.10473007
159,60,100,14,3.0,60,80,59,21,0.3375,-0.00178749,-0.00716791,-0.14299956,0.811326,0.07829829,-0.0396092,95643.69,-0.04356308,-0.08425775,-0.10841769
160,60,100,14,3.0,90,79,58,21,0.341772,-0.00191838,-0.00705202,-0.15155217,0.7961,0.06043654,-0.0396092,95411.95,-0.04588047,-0.08425775,-0.11178218
105,40,150,14,2.5,20,104,76,28,0.326923,-0.00141757,-0.00519803,-0.14742683,0.791102,0.05224107,-0.02982283,95566.23,-0.04433773,-0.0942134,-0.1122063
122,40,200,14,2.5,40,94,68,26,0.287234,-0.00165834,-0.00610644,-0.15588419,0.768099,0.05249327,-0.02982283,95327.62,-0.04672378,-0.08761648,-0.1125604
189,60,200,14,3.0,20,90,67,23,0.366667,-0.00145806,-0.00625104,-0.13122574,0.821571,0.07871858,-0.04160947,95993.67,-0.04006327,-0.10236711,-0.11314805
137,60,50,14,2.5,20,98,72,26,0.336735,-0.00152972,-0.00586766,-0.14991283,0.790695,0.05224107,-0.02982283,95491.63,-0.0450837,-0.09454034,-0.11404569
142,60,50,14,3.0,40,84,60,24,0.333333,-0.00195007,-0.00716791,-0.16380606,0.799474,0.06043654,-0.0396092,95043.63,-0.04956369,-0.08285697,-0.11487845
45,20,150,14,3.0,20,132,95,37,0.356061,-0.00114025,-0.00440786,-0.1505124,0.853492,0.07871858,-0.04160947,95389.99,-0.04610014,-0.09971984,-0.11505401
95,40,100,14,3.0,60,94,66,28,0.319149,-0.0016343,-0.00692858,-0.15362401,0.81758,0.07829829,-0.0396092,95317.46,-0.04682537,-0.09279272,-0.11557539
153,60,100,14,2.5,20,96,71,25,0.333333,-0.00162187,-0.00579669,-0.15569965,0.777837,0.05224107,-0.02982283,95328.87,-0.0467113,-0.0938311,-0.11598493
126,40,200,14,3.0,40,87,63,24,0.310345,-0.00185765,-0.00691581,-0.16161586,0.794431,0.06043654,-0.0396092,95117.28,-0.04882719,-0.08797692,-0.11647457
89,40,100,14,2.5,20,112,80,32,0.339286,-0.00134472,-0.00489494,-0.15060852,0.803182,0.05224107,-0.02982283,95467.17,-0.0453283,-0.10111559,-0.11675541
106,40,150,14,2.5,40,97,69,28,0.28866,-0.00184565,-0.00594765,-0.1790284,0.745771,0.05249327,-0.02982283,94663.46,-0.05336542,-0.08902,-0.12154265
158,60,100,14,3.0,40,82,59,23,0.329268,-0.00221656,-0.00804658,-0.18175794,0.773262,0.06043654,-0.0396092,94539.75,-0.05460253,-0.08329948,-0.1223147
138,60,50,14,2.5,40,91,65,26,0.307692,-0.00201667,-0.00641523,-0.18351654,0.739259,0.05249327,-0.02982283,94534.06,-0.0546594,-0.08587938,-0.12232035
154,60,100,14,2.5,40,89,64,25,0.303371,-0.00204168,-0.00675003,-0.18170992,0.737878,0.05249327,-0.02982283,94586.3,-0.05413697,-0.08648356,-0.12236058
96,40,100,14,3.0,90,93,65,28,0.322581,-0.00185505,-0.00691581,-0.17251932,0.791516,0.06043654,-0.0396092,94797.4,-0.052026,-0.09279272,-0.12254201
29,20,100,14,3.0,20,142,102,40,0.352113,-0.00125133,-0.00441859,-0.17768952,0.835255,0.07871858,-0.04160947,94609.31,-0.0539069,-0.10005894,-0.12395294
110,40,150,14,3.0,40,90,64,26,0.311111,-0.00214796,-0.00698392,-0.19331622,0.765421,0.06043654,-0.0396092,94211.99,-0.05788007,-0.08517516,-0.12616883
173,60,150,14,3.0,20,93,69,24,0.354839,-0.00186456,-0.00635519,-0.17340425,0.778312,0.07871858,-0.04160947,94781.54,-0.05218461,-0.10325144,-0.12905197
77,40,50,14,3.0,20,112,80,32,0.383929,-0.00155011,-0.00611684,-0.1736127,0.813765,0.07871858,-0.04160947,94751.81,-0.05248188,-0.10930071,-0.13046321
90,40,100,14,2.5,40,104,72,32,0.288462,-0.00184998,-0.00579669,-0.19239838,0.748158,0.05249327,-0.02982283,94272.82,-0.05727179,-0.09738996,-0.13050564
125,40,200,14,3.0,20,99,74,25,0.353535,-0.00180816,-0.00626522,-0.17900739,0.778525,0.07871858,-0.04160947,94621.23,-0.05378766,-0.10956577,-0.13399236
13,20,50,14,3.0,20,164,109,55,0.341463,-0.00129264,-0.00646072,-0.21199239,0.836934,0.07871858,-0.04160947,93601.9,-0.06398097,-0.10300035,-0.13612227
94,40,100,14,3.0,40,97,67,30,0.309278,-0.00225839,-0.00694135,-0.21906355,0.752902,0.06043654,-0.0396092,93477.92,-0.06522079,-0.09480187,-0.14016901
109,40,150,14,3.0,20,102,75,27,0.352941,-0.00207968,-0.00629602,-0.2121272,0.749305,0.07871858,-0.04160947,93681.15,-0.0631885,-0.11043133,-0.14608472
157,60,100,14,3.0,20,94,70,24,0.361702,-0.00231702,-0.0066355,-0.21779952,0.737652,0.07871858,-0.04160947,93522.74,-0.06477259,-0.11723554,-0.15365005
93,40,100,14,3.0,20,110,79,31,0.363636,-0.00206341,-0.00611684,-0.22697462,0.7479,0.07871858,-0.04160947,93259.16,-0.06740836,-0.11960048,-0.1556759
141,60,50,14,3.0,20,96,71,25,0.364583,-0.00239838,-0.0066355,-0.23024431,0.733461,0.07871858,-0.04160947,93169.01,-0.06830985,-0.12068754,-0.1599094
