run_id,pullback_pct,tp_pct,sl_pct,hold_days,rsi_long_max,rsi_short_min,trades,long_trades,short_trades,win_rate,avg_return,median_return,total_return_sum,profit_factor,final_equity,total_equity_return,max_drawdown,score,wf_id
384,0.005,0.006,0.006,7,40,60,23,16,7,0.695652,0.00199897,0.0059201,0.04597634,2.082887,101385.34,0.01385341,-0.00364773,0.03092494,4
69,0.003,0.006,0.006,9,40,60,23,16,7,0.652174,0.00196677,0.0059201,0.0452357,2.031664,101362.73,0.01362726,-0.00364773,0.03037677,4
393,0.005,0.006,0.006,9,40,60,23,16,7,0.652174,0.00196677,0.0059201,0.0452357,2.031664,101362.73,0.01362726,-0.00364773,0.03037677,4
598,0.005,0.01,0.006,7,40,50,128,15,113,0.46875,0.00085305,-0.00454313,0.10919054,1.276238,103296.69,0.03296691,-0.01446397,0.02992625,4
1247,0.01,0.01,0.006,7,40,55,36,11,25,0.527778,0.00176485,0.00348162,0.06353468,1.61551,101914.28,0.01914282,-0.00910209,0.02950967,4
717,0.007,0.006,0.006,9,40,60,21,15,6,0.666667,0.00193626,0.0059201,0.04066147,1.957705,101223.89,0.01223895,-0.00364773,0.02868337,4
275,0.003,0.01,0.006,7,40,55,68,15,53,0.5,0.00124119,0.00040192,0.08440104,1.446734,102547.36,0.02547363,-0.01152795,0.02866319,4
280,0.003,0.01,0.006,9,35,50,122,0,122,0.442623,0.00082862,-0.00603261,0.10109192,1.2549,103045.86,0.03045861,-0.01266519,0.02861268,4
159,0.003,0.008,0.006,5,40,60,22,15,7,0.545455,0.00184546,0.0040419,0.04060022,1.865525,101221.23,0.01221227,-0.00406347,0.02741614,4
483,0.005,0.008,0.006,5,40,60,22,15,7,0.545455,0.00184546,0.0040419,0.04060022,1.865525,101221.23,0.01221227,-0.00406347,0.02741614,4
303,0.003,0.01,0.008,5,40,60,22,15,7,0.636364,0.00189885,0.00285025,0.04177466,1.932767,101256.4,0.01256399,-0.00526042,0.02734414,4
