pair,side,signal_date,entry_date,exit_date,exit_year,exit_time,entry_price,exit_price,initial_stop,final_stop,exit_reason,bar_hold_days,calendar_hold_days,gross_return,spread_cost_pct,net_return,win,signal_close,signal_ma,signal_atr,signal_prev_high,signal_prev_low,breakout_days,ma_days,atr_days,atr_mult,max_hold_days
USDJPY=X,LONG,2022-09-07,2022-09-08,2022-09-09,2022,1662681600,144.1280059814453,142.47419782366072,142.0208060128348,142.47419782366072,ATR_STOP,2,1,-0.011474578771300722,4.162966079453306e-05,-0.011516208432095255,False,143.1510009765625,125.28539989471436,1.755999973842076,142.96800231933594,130.42999267578125,60,200,14,1.2,20
GBPUSD=X,SHORT,2022-09-22,2022-09-23,2022-09-27,2022,1664236800,1.1263036727905273,1.0637237174170358,1.1433530603136335,1.0637237174170358,ATR_STOP,3,4,0.055562240348949264,0.0001065432022455261,0.05545569714670374,True,1.1255937814712524,1.2675998622179032,0.014207822935921805,1.2291958332061768,1.1306205987930298,60,200,14,1.2,20
USDJPY=X,LONG,2022-10-17,2022-10-18,2022-10-21,2022,1666310400,148.9709930419922,148.70448346819197,147.72350856236048,148.70448346819197,ATR_STOP,4,3,-0.0017890031365038737,4.0276297267540606e-05,-0.0018292794337714142,False,148.6320037841797,129.5065648651123,1.0395703996930803,148.49200439453125,130.42999267578125,60,200,14,1.2,20
USDJPY=X,LONG,2022-10-21,2022-10-24,2022-10-25,2022,1666656000,147.81900024414062,147.63048357282366,146.14877232142857,147.63048357282366,ATR_STOP,2,1,-0.0012753209736610543,4.0590181168119714e-05,-0.001315911154829174,False,150.17599487304688,130.20043979644777,1.3918566022600447,149.98899841308594,130.42999267578125,60,200,14,1.2,20
GBPUSD=X,SHORT,2023-03-08,2023-03-09,2023-03-10,2023,1678406400,1.1849464178085327,1.1989180326461792,1.2006191832678659,1.1989180326461792,ATR_STOP,2,1,-0.01179092541879316,0.00010127040193254542,-0.011892195820725706,False,1.1827740669250488,1.191074665784836,0.013060637882777624,1.244926929473877,1.1844552755355835,60,200,14,1.2,20
USDJPY=X,LONG,2023-05-23,2023-05-24,2023-06-01,2023,1685577600,138.59800720214844,139.3135999407087,136.89280875069755,139.3135999407087,ATR_STOP,7,8,0.005163081006760555,4.329066572543759e-05,0.005119790341035117,True,138.6719970703125,137.11803001403808,1.4209987095424108,138.65899658203125,129.6739959716797,60,200,14,1.2,20
USDJPY=X,LONG,2023-06-19,2023-06-20,2023-07-06,2023,1688601600,141.8990020751953,143.66603480747767,140.3654035295759,143.66603480747767,ATR_STOP,13,16,0.012452749536222751,4.228359546052672e-05,0.012410465940762224,True,141.86700439453125,137.20313529968263,1.277998788016183,141.86599731445312,130.4459991455078,60,200,14,1.2,20
USDJPY=X,LONG,2023-08-17,2023-08-18,2023-08-23,2023,1692748800,145.71400451660156,144.96080235072546,143.92789175851004,144.96080235072546,ATR_STOP,4,5,-0.0051690444468588444,4.1176550050248635e-05,-0.005210220996909093,False,146.33299255371094,136.4299806213379,1.4884272984095983,145.88299560546875,137.31500244140625,60,200,14,1.2,20
GBPUSD=X,SHORT,2023-09-15,2023-09-18,2023-09-29,2023,1695945600,1.2397565841674805,1.2222215277808053,1.2510994366237096,1.2222215277808053,ATR_STOP,10,11,0.014143951006681123,9.679319435160106e-05,0.014047157812329522,True,1.2401869297027588,1.2434013551473617,0.009452377046857561,1.3142330646514893,1.2403408288955688,60,200,14,1.2,20
USDJPY=X,LONG,2023-09-21,2023-09-22,2023-09-29,2023,1695945600,147.6439971923828,148.6204075404576,146.5771959577288,148.6204075404576,ATR_STOP,6,7,0.006613274949488795,4.0638292880826646e-05,0.006572636656607968,True,148.3209991455078,137.48009071350097,0.8890010288783482,148.16299438476562,137.31500244140625,60,200,14,1.2,20
