param_name,position_fraction,date,pair,side,net_return,pnl,equity,peak,drawdown
A_v703_stable,0.7,2021-09-20,GBPUSD=X,SHORT,0.009913288004986528,703.8494724637762,102133.28901573565,102133.28901573565,0.0
A_v703_stable,0.7,2021-11-16,USDJPY=X,LONG,0.009947016590866515,711.1450642235011,102844.43407995914,102844.43407995914,0.0
A_v703_stable,0.7,2021-12-27,USDJPY=X,LONG,0.009947220267559025,716.1113673600653,103560.54544731921,103560.54544731921,0.0
A_v703_stable,0.7,2021-12-29,EURUSD=X,SHORT,0.0017863847480950631,129.49928522404767,103690.04473254326,103690.04473254326,0.0
A_v703_stable,0.7,2022-03-29,EURUSD=X,SHORT,-0.006036423599027255,-438.1419231054011,103251.90280943786,103690.04473254326,-0.0042254965193191385
A_v703_stable,0.7,2022-05-12,EURJPY=X,LONG,-0.0060728544397507835,-438.92364347230773,102812.97916596555,103690.04473254326,-0.008458532049436474
A_v703_stable,0.7,2022-08-03,EURUSD=X,SHORT,0.009961018800281139,716.8854128695671,103529.86457883511,103690.04473254326,-0.0015447978069766943
A_v703_stable,0.7,2022-10-04,EURJPY=X,LONG,0.009929618599522225,719.6084482496128,104249.47302708472,104249.47302708472,0.0
A_v703_stable,0.7,2023-05-24,EURJPY=X,LONG,-0.006066706689051527,-442.7156827404581,103806.75734434427,104249.47302708472,-0.004246694682336072
A_v703_stable,0.7,2023-07-21,EURJPY=X,LONG,0.009935939730797524,721.9923792360495,104528.74972358032,104528.74972358032,0.0
A_v703_stable,0.7,2024-09-26,USDJPY=X,LONG,0.009958228324123077,728.6448093277708,105257.39453290809,105257.39453290809,0.0
A_v703_stable,0.7,2025-06-06,EURJPY=X,LONG,0.009938702157359404,732.2853258855704,105989.67985879366,105989.67985879366,0.0
A_v703_stable,0.7,2025-07-14,GBPUSD=X,SHORT,0.00991174599389386,735.3799493141435,106725.0598081078,106725.0598081078,0.0
A_v703_stable,0.7,2025-09-02,GBPUSD=X,SHORT,0.00991117564093337,740.4395691330926,107465.49937724089,107465.49937724089,0.0
A_v703_stable,0.7,2025-12-03,GBPUSD=X,SHORT,-0.006090600000594052,-458.17055939960443,107007.32881784129,107465.49937724089,-0.004263420000415796
A_v703_stable,0.7,2025-12-16,USDJPY=X,LONG,-0.006038590915742254,-452.3214386020825,106555.0073792392,107465.49937724089,-0.008472412106936278
A_v703_stable,1.0,2018-06-29,EURJPY=X,LONG,0.009921535394857031,992.1535394857032,100992.1535394857,100992.1535394857,0.0
A_v703_stable,1.0,2018-08-06,EURJPY=X,LONG,-0.00607728333784408,-613.7579319585075,100378.3956075272,100992.1535394857,-0.006077283337844075
A_v703_stable,1.0,2018-09-07,GBPUSD=X,SHORT,-0.0060929220012450195,-611.5977350467789,99766.79787248043,100992.1535394857,-0.012133176925732125
A_v703_stable,1.0,2019-04-04,EURJPY=X,LONG,0.006930159235076898,691.3997956300204,100458.19766811044,100992.1535394857,-0.005287102538777955
A_v703_stable,1.0,2019-04-12,EURJPY=X,LONG,0.00992009652402322,996.55501749706,101454.7526856075,101454.7526856075,0.0
A_v703_stable,1.0,2020-04-13,USDJPY=X,LONG,-0.00605527355677688,-614.3362811464972,100840.41640446101,101454.7526856075,-0.006055273556776819
A_v703_stable,1.0,2020-04-15,USDJPY=X,LONG,-0.006055745501236171,-610.6638979840969,100229.75250647691,101454.7526856075,-0.012074349862412737
A_v703_stable,1.0,2020-04-17,EURUSD=X,SHORT,0.009963389998421281,998.6281136672724,101228.38062014419,101454.7526856075,-0.0022312613206479925
A_v703_stable,1.0,2020-07-06,EURJPY=X,LONG,0.009916958004022024,1003.8775994251268,102232.25821956932,102232.25821956932,0.0
A_v703_stable,1.0,2020-12-16,USDJPY=X,LONG,-0.001887760216671753,-192.9899899274168,102039.26822964191,102232.25821956932,-0.0018877602166718077
A_v703_stable,1.0,2021-09-20,GBPUSD=X,SHORT,0.009913288004986528,1011.544653778512,103050.81288342043,103050.81288342043,0.0
A_v703_stable,1.0,2021-11-16,USDJPY=X,LONG,0.009947016590866515,1025.0481454536637,104075.86102887409,104075.86102887409,0.0
A_v703_stable,1.0,2021-12-27,USDJPY=X,LONG,0.009947220267559025,1035.2655141900727,105111.12654306417,105111.12654306417,0.0
A_v703_stable,1.0,2021-12-29,EURUSD=X,SHORT,0.0017863847480950631,187.76891331161997,105298.89545637579,105298.89545637579,0.0
A_v703_stable,1.0,2022-03-29,EURUSD=X,SHORT,-0.006036423599027255,-635.6287374843706,104663.26671889142,105298.89545637579,-0.00603642359902723
A_v703_stable,1.0,2022-05-12,EURJPY=X,LONG,-0.0060728544397507835,-635.6047839726401,104027.66193491878,105298.89545637579,-0.012072619716924415
A_v703_stable,1.0,2022-08-03,EURUSD=X,SHORT,0.009961018800281139,1036.2214962830164,105063.8834312018,105298.89545637579,-0.00223185650861224
A_v703_stable,1.0,2022-10-04,EURJPY=X,LONG,0.009929618599522225,1043.2442910564962,106107.1277222583,106107.1277222583,0.0
A_v703_stable,1.0,2023-05-24,EURJPY=X,LONG,-0.006066706689051527,-643.7208215086691,105463.40690074963,106107.1277222583,-0.006066706689051515
A_v703_stable,1.0,2023-07-21,EURJPY=X,LONG,0.009935939730797524,1047.8780547704241,106511.28495552005,106511.28495552005,0.0
A_v703_stable,1.0,2024-09-26,USDJPY=X,LONG,0.009958228324123077,1060.663694682804,107571.94865020286,107571.94865020286,0.0
A_v703_stable,1.0,2025-06-06,EURJPY=X,LONG,0.009938702157359404,1069.1255581211262,108641.07420832399,108641.07420832399,0.0
A_v703_stable,1.0,2025-07-14,GBPUSD=X,SHORT,0.00991174599389386,1076.8227320566807,109717.89694038067,109717.89694038067,0.0
A_v703_stable,1.0,2025-09-02,GBPUSD=X,SHORT,0.00991117564093337,1087.4333475299388,110805.3302879106,110805.3302879106,0.0
A_v703_stable,1.0,2025-12-03,GBPUSD=X,SHORT,-0.006090600000594052,-674.8709447173725,110130.45934319323,110805.3302879106,-0.006090600000594026
A_v703_stable,1.0,2025-12-16,USDJPY=X,LONG,-0.006038590915742254,-665.0327913363283,109465.4265518569,110805.3302879106,-0.012092412274501307
A_v703_stable,1.5,2018-06-29,EURJPY=X,LONG,0.009921535394857031,1488.2303092285547,101488.23030922856,101488.23030922856,0.0
A_v703_stable,1.5,2018-08-06,EURJPY=X,LONG,-0.00607728333784408,-925.159096568336,100563.07121266022,101488.23030922856,-0.009115925006766168
A_v703_stable,1.5,2018-09-07,GBPUSD=X,SHORT,-0.0060929220012450195,-919.0844236565806,99643.98678900364,101488.23030922856,-0.0181719940785805
A_v703_stable,1.5,2019-04-04,EURJPY=X,LONG,0.006930159235076898,1035.823042898541,100679.80983190218,101488.23030922856,-0.007965657444840346
A_v703_stable,1.5,2019-04-12,EURJPY=X,LONG,0.00992009652402322,1498.1301473291576,102177.93997923133,102177.93997923133,0.0
A_v703_stable,1.5,2020-04-13,USDJPY=X,LONG,-0.00605527355677688,-928.073067063262,101249.86691216807,102177.93997923133,-0.009082910335165284
A_v703_stable,1.5,2020-04-15,USDJPY=X,LONG,-0.006055745501236171,-919.7151390811841,100330.1517730869,102177.93997923133,-0.018084022896919016
A_v703_stable,1.5,2020-04-17,EURUSD=X,SHORT,0.009963389998421281,1499.442646074095,101829.59441916099,102177.93997923133,-0.003409205158580675
A_v703_stable,1.5,2020-07-06,EURJPY=X,LONG,0.009916958004022024,1514.7597171321227,103344.35413629311,103344.35413629311,0.0
A_v703_stable,1.5,2020-12-16,USDJPY=X,LONG,-0.001887760216671753,-292.63404053419663,103051.72009575892,103344.35413629311,-0.0028316403250076005
A_v703_stable,1.5,2021-09-20,GBPUSD=X,SHORT,0.009913288004986528,1532.372071077774,104584.0921668367,104584.0921668367,0.0
A_v703_stable,1.5,2021-11-16,USDJPY=X,LONG,0.009947016590866515,1560.4495498863557,106144.54171672305,106144.54171672305,0.0
A_v703_stable,1.5,2021-12-27,USDJPY=X,LONG,0.009947220267559025,1583.7647049830277,107728.30642170607,107728.30642170607,0.0
A_v703_stable,1.5,2021-12-29,EURUSD=X,SHORT,0.0017863847480950631,288.6663052947707,108016.97272700084,108016.97272700084,0.0
A_v703_stable,1.5,2022-03-29,EURUSD=X,SHORT,-0.006036423599027255,-978.0543048971269,107038.91842210371,108016.97272700084,-0.0090546353985409
A_v703_stable,1.5,2022-05-12,EURJPY=X,LONG,-0.0060728544397507835,-975.0476564486916,106063.87076565503,108016.97272700084,-0.018081435833996573
A_v703_stable,1.5,2022-08-03,EURUSD=X,SHORT,0.009961018800281139,1584.7563160909183,107648.62708174594,108016.97272700084,-0.0034100719169926075
A_v703_stable,1.5,2022-10-04,EURJPY=X,LONG,0.009929618599522225,1603.3647145259047,109251.99179627185,109251.99179627185,0.0
A_v703_stable,1.5,2023-05-24,EURJPY=X,LONG,-0.006066706689051527,-994.1996841339673,108257.79211213787,109251.99179627185,-0.009100060033577329
A_v703_stable,1.5,2023-07-21,EURJPY=X,LONG,0.009935939730797524,1613.4643467231142,109871.25645886098,109871.25645886098,0.0
A_v703_stable,1.5,2024-09-26,USDJPY=X,LONG,0.009958228324123077,1641.1845871134299,111512.44104597441,111512.44104597441,0.0
A_v703_stable,1.5,2025-06-06,EURJPY=X,LONG,0.009938702157359404,1662.433407594059,113174.87445356847,113174.87445356847,0.0
A_v703_stable,1.5,2025-07-14,GBPUSD=X,SHORT,0.00991174599389386,1682.6409127118966,114857.51536628036,114857.51536628036,0.0
A_v703_stable,1.5,2025-09-02,GBPUSD=X,SHORT,0.00991117564093337,1707.5595127146125,116565.07487899497,116565.07487899497,0.0
A_v703_stable,1.5,2025-12-03,GBPUSD=X,SHORT,-0.006090600000594052,-1064.926867690879,115500.14801130409,116565.07487899497,-0.00913590000089115
A_v703_stable,1.5,2025-12-16,USDJPY=X,LONG,-0.006038590915742254,-1046.18721682192,114453.96079448216,116565.07487899497,-0.01811103443037576
A_v703_stable,2.0,2018-06-29,EURJPY=X,LONG,0.009921535394857031,1984.3070789714063,101984.30707897141,101984.30707897141,0.0
A_v703_stable,2.0,2018-08-06,EURJPY=X,LONG,-0.00607728333784408,-1239.575060265214,100744.7320187062,101984.30707897141,-0.01215456667568815
A_v703_stable,2.0,2018-09-07,GBPUSD=X,SHORT,-0.0060929220012450195,-1227.659588452617,99517.07243025358,101984.30707897141,-0.024192297024750342
A_v703_stable,2.0,2019-04-04,EURJPY=X,LONG,0.006930159235076898,1379.338317100677,100896.41074735425,101984.30707897141,-0.01066729149588419
A_v703_stable,2.0,2019-04-12,EURJPY=X,LONG,0.00992009652402322,2001.8042670824962,102898.21501443675,102898.21501443675,0.0
A_v703_stable,2.0,2020-04-13,USDJPY=X,LONG,-0.00605527355677688,-1246.153680832921,101652.06133360382,102898.21501443675,-0.012110547113553749
A_v703_stable,2.0,2020-04-15,USDJPY=X,LONG,-0.006055745501236171,-1231.1580262247094,100420.9033073791,102898.21501443675,-0.024075361333625422
A_v703_stable,2.0,2020-04-17,EURUSD=X,SHORT,0.009963389998421281,2001.065247290343,102421.96855466945,102898.21501443675,-0.004628325765422381
A_v703_stable,2.0,2020-07-06,EURJPY=X,LONG,0.009916958004022024,2031.4287216918426,104453.3972763613,104453.3972763613,0.0
A_v703_stable,2.0,2020-12-16,USDJPY=X,LONG,-0.001887760216671753,-394.365935749049,104059.03134061224,104453.3972763613,-0.0037755204333435044
A_v703_stable,2.0,2021-09-20,GBPUSD=X,SHORT,0.009913288004986528,2063.134294398817,106122.16563501106,106122.16563501106,0.0
A_v703_stable,2.0,2021-11-16,USDJPY=X,LONG,0.009947016590866515,2111.1978844602786,108233.36351947134,108233.36351947134,0.0
A_v703_stable,2.0,2021-12-27,USDJPY=X,LONG,0.009947220267559025,2153.242214453938,110386.60573392527,110386.60573392527,0.0
A_v703_stable,2.0,2021-12-29,EURUSD=X,SHORT,0.0017863847480950631,394.3858977541343,110780.99163167941,110780.99163167941,0.0
A_v703_stable,2.0,2022-03-29,EURUSD=X,SHORT,-0.006036423599027255,-1337.441984418221,109443.54964726118,110780.99163167941,-0.01207284719805457
A_v703_stable,2.0,2022-05-12,EURJPY=X,LONG,-0.0060728544397507835,-1329.2694927549107,108114.28015450627,110780.99163167941,-0.02407192279014192
A_v703_stable,2.0,2022-08-03,EURUSD=X,SHORT,0.009961018800281139,2153.856754395798,110268.13690890206,110780.99163167941,-0.004629446940522697
A_v703_stable,2.0,2022-10-04,EURJPY=X,LONG,0.009929618599522225,2189.841086370594,112457.97799527265,112457.97799527265,0.0
A_v703_stable,2.0,2023-05-24,EURJPY=X,LONG,-0.006066706689051527,-1364.49913468226,111093.47886059039,112457.97799527265,-0.012133413378103142
A_v703_stable,2.0,2023-07-21,EURJPY=X,LONG,0.009935939730797524,2207.63622088691,113301.1150814773,113301.1150814773,0.0
A_v703_stable,2.0,2024-09-26,USDJPY=X,LONG,0.009958228324123077,2256.556746718191,115557.6718281955,115557.6718281955,0.0
A_v703_stable,2.0,2025-06-06,EURJPY=X,LONG,0.009938702157359404,2296.9865645966333,117854.65839279213,117854.65839279213,0.0
A_v703_stable,2.0,2025-07-14,GBPUSD=X,SHORT,0.00991174599389386,2336.2908763729733,120190.94926916511,120190.94926916511,0.0
A_v703_stable,2.0,2025-09-02,GBPUSD=X,SHORT,0.00991117564093337,2382.4672173144154,122573.41648647953,122573.41648647953,0.0
A_v703_stable,2.0,2025-12-03,GBPUSD=X,SHORT,-0.006090600000594052,-1493.0913010507345,121080.3251854288,122573.41648647953,-0.012181200001188164
A_v703_stable,2.0,2025-12-16,USDJPY=X,LONG,-0.006038590915742254,-1462.3091034796967,119618.0160819491,122573.41648647953,-0.024111267265332637
B_v703_more_trades,0.3,2018-02-13,EURUSD=X,SHORT,-0.00603264400061595,-180.97932001847852,99819.02067998152,100000.0,-0.0018097932001848172
B_v703_more_trades,0.3,2018-02-28,GBPUSD=X,SHORT,0.009914068000836983,296.88376763948696,100115.90444762101,100115.90444762101,0.0
B_v703_more_trades,0.3,2018-03-05,GBPUSD=X,SHORT,-0.006087253202913771,-182.829258003417,99933.0751896176,100115.90444762101,-0.001826175960874088
B_v703_more_trades,0.3,2018-03-06,EURUSD=X,SHORT,-0.006032471598362198,-180.85303134550864,99752.22215827208,100115.90444762101,-0.0036326125339976034
