pair,side,signal_date,entry_date,exit_date,exit_time,entry_price,exit_price,tp_price,sl_price,exit_reason,bar_hold_days,calendar_hold_days,gross_return,spread_cost_pct,net_return,win,signal_close,signal_ma,signal_rsi,signal_prev_high,signal_prev_low,pullback_pct,tp_pct,sl_pct,hold_days,rsi_long_max,rsi_short_min
USDJPY=X,SHORT,2020-04-01,2020-04-02,2020-04-02,1585785600,107.28600311279297,107.92971913146972,106.21314308166504,107.92971913146972,SL,1,0,-0.00599999999999998,5.592528219820084e-05,-0.006055925282198181,False,107.50800323486328,107.7458413696289,60.48192223861769,111.29100036621094,103.11199951171875,0.01,0.01,0.006,7,40,60
AUDUSD=X,SHORT,2020-04-08,2020-04-09,2020-04-09,1586390400,0.6235191226005554,0.6272602373361588,0.6172839313745498,0.6272602373361588,SL,1,0,-0.006000000000000021,0.00016038000499956267,-0.006160380004999583,False,0.6152199506759644,0.6161076188087463,67.42024091328953,0.6499098539352417,0.5742902159690857,0.01,0.01,0.006,7,40,60
EURUSD=X,SHORT,2020-04-09,2020-04-10,2020-04-17,1587081600,1.0925976037979126,1.0816716277599334,1.0816716277599334,1.0991531894207,TP,6,7,0.010000000000000049,3.661000157876827e-05,0.009963389998421281,True,1.0863661766052246,1.1011597394943238,60.976132582949965,1.1261515617370605,1.0657345056533813,0.01,0.01,0.006,7,40,60
USDJPY=X,LONG,2020-04-09,2020-04-10,2020-04-13,1586736000,108.5510025024414,107.89969648742675,109.63651252746583,107.89969648742675,SL,2,3,-0.006000000000000055,5.52735567768253e-05,-0.00605527355677688,False,108.9219970703125,107.73456115722657,37.10675841542389,111.29100036621094,104.55000305175781,0.01,0.01,0.006,7,40,60
USDJPY=X,LONG,2020-04-13,2020-04-14,2020-04-15,1586908800,107.63200378417969,106.9862117614746,108.70832382202148,106.9862117614746,SL,2,1,-0.0060000000000000235,5.57455012361473e-05,-0.006055745501236171,False,108.33599853515625,108.00300079345703,35.481940300498465,111.29100036621094,106.17500305175781,0.01,0.01,0.006,7,40,60
GBPUSD=X,LONG,2020-05-05,2020-05-06,2020-05-06,1588723200,1.2445240020751953,1.2370568580627441,1.2569692420959473,1.2370568580627441,SL,1,0,-0.006000000000000013,9.642240712103959e-05,-0.006096422407121053,False,1.244555115699768,1.2421433687210084,37.894797362906935,1.26262629032135,1.2240501642227173,0.01,0.01,0.006,7,40,60
EURJPY=X,LONG,2020-06-24,2020-06-25,2020-07-03,1593734400,120.4209976196289,120.79900360107422,121.6252075958252,119.69847163391113,TIME,7,8,0.003139037119085423,8.304199597803345e-05,0.0030559951231073895,True,120.4010009765625,120.36479888916016,39.91523829993015,124.1036605834961,118.01000213623047,0.01,0.01,0.006,7,40,60
AUDUSD=X,LONG,2020-06-29,2020-06-30,2020-07-01,1593561600,0.6870396733283997,0.6939100700616837,0.6939100700616837,0.6829174352884293,TP,2,1,0.010000000000000071,0.00014555200213627368,0.009854447997863797,True,0.6861910820007324,0.684638147354126,39.540016903473806,0.7024494409561157,0.6659784913063049,0.01,0.01,0.006,7,40,60
EURJPY=X,SHORT,2020-07-10,2020-07-13,2020-07-13,1594598400,120.87999725341797,121.60527723693848,119.67119728088379,121.60527723693848,SL,1,0,-0.006000000000000003,8.272667295843475e-05,-0.006082726672958437,False,121.04399871826172,121.04993927001954,66.59917590224495,121.81999969482422,119.40399932861328,0.01,0.01,0.006,7,40,60
USDJPY=X,SHORT,2020-08-20,2020-08-21,2020-08-25,1598313600,105.66899871826172,106.3030127105713,104.6123087310791,106.3030127105713,SL,3,4,-0.006000000000000056,5.678108123270293e-05,-0.006056781081232758,False,106.0790023803711,106.12607971191406,61.88290426110866,107.17500305175781,104.68299865722656,0.01,0.01,0.006,7,40,60
