date,pair,side,net_return,pnl,equity,peak,drawdown
2021-11-16,USDJPY=X,LONG,0.009947016590866515,308.18316172263275,103583.08939696195,103583.08939696195,0.0
2021-12-21,EURUSD=X,SHORT,0.0029419197625930376,91.41994133020911,103674.50933829216,103674.50933829216,0.0
2021-12-27,USDJPY=X,LONG,0.009947220267559025,309.38195415572915,103983.8912924479,103983.8912924479,0.0
2022-01-07,EURUSD=X,SHORT,-0.006035444001332607,-188.27668588086794,103795.61460656703,103983.8912924479,-0.0018106332003997583
2022-01-12,EURUSD=X,SHORT,-0.006035231600640097,-187.92917198442424,103607.68543458261,103983.8912924479,-0.003617924403379269
2022-01-27,EURUSD=X,SHORT,0.009964676399603689,309.72511736026445,103917.41055194288,103983.8912924479,-0.0006393369172734698
2022-02-17,GBPUSD=X,SHORT,-0.0060886187963591284,-189.81404974665836,103727.59650219623,103983.8912924479,-0.0024647547525495916
2022-02-24,EURUSD=X,SHORT,0.009964775200985833,310.0866543848849,104037.68315658112,104037.68315658112,0.0
2022-03-29,EURUSD=X,SHORT,-0.006036423599027255,-188.40465773835197,103849.27849884276,104037.68315658112,-0.0018109270797082022
2022-03-30,EURUSD=X,SHORT,-0.006036063600264672,-188.05225495818402,103661.22624388458,104037.68315658112,-0.0036184668984790003
2022-03-30,GBPUSD=X,SHORT,-0.006091603199145649,-189.43891722438244,103471.7873266602,104037.68315658112,-0.0054393351788623034
2022-04-08,GBPUSD=X,SHORT,0.009908715998253421,307.58176633546606,103779.36909299566,104037.68315658112,-0.0024828894276381908
2022-04-14,EURUSD=X,SHORT,0.009963324397181474,310.1962560025034,104089.56534899816,104089.56534899816,0.0
2022-05-12,EURJPY=X,LONG,-0.0060728544397507835,-189.63623371841783,103899.92911527975,104089.56534899816,-0.0018218563319252201
2022-05-23,EURUSD=X,SHORT,-0.006037843599022819,-188.19945658428495,103711.72965869546,104089.56534899816,-0.0036299093865544974
2022-05-24,EURUSD=X,SHORT,-0.0060374460000678625,-187.8461902164031,103523.88346847906,104089.56534899816,-0.0054345685720028625
2022-05-27,GBPUSD=X,SHORT,-0.006095482800284267,-189.30841533022405,103334.57505314884,104089.56534899816,-0.00725327551631072
2022-07-07,GBPUSD=X,SHORT,-0.0061004220020135225,-189.11535456688404,103145.45969858197,104089.56534899816,-0.009070127704450814
2022-07-29,EURUSD=X,SHORT,-0.00603924520216211,-186.87621678283992,102958.58348179913,104089.56534899816,-0.010865468247532872
2022-07-29,GBPUSD=X,SHORT,-0.006098630395332618,-188.37190400474728,102770.21157779438,104089.56534899816,-0.012675178023658473
2022-08-01,EURUSD=X,SHORT,-0.006039184001399433,-186.19446527431518,102584.01711252007,104089.56534899816,-0.014463968904377622
